polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,ap,cds,ci_u,iu,basque_nationalist_party,hb,ee,pa,uv,confederation_of_the_greens,ea,pp,ruiz_mateos_group
Demoscopia,13/10/1989,15/10/1989,29/10/1989,6200,68,41.6,NA,9.1,5,8,1.5,1,0.7,NA,NA,NA,0.4,22.8,1.2
Opina,09/10/1989,11/10/1989,29/10/1989,2800,67,41,NA,9,4.8,8.8,2,0.5,1,1.4,0.7,NA,1,24,3.3
PSOE,06/10/1989,06/10/1989,29/10/1989,NA,NA,40,NA,8,NA,6,NA,NA,NA,NA,NA,NA,NA,20,NA
Gruppo,30/09/1989,30/09/1989,29/10/1989,1500,66.5,38.3,NA,9,4.7,7.4,1.1,1.1,0.7,1.2,NA,1.8,0.7,24.1,2
Demoscopia,28/09/1989,30/09/1989,29/10/1989,6200,68,42.1,NA,7.3,4.6,8.7,1.1,0.9,NA,NA,NA,NA,NA,23.8,1.2
CIS,25/09/1989,27/09/1989,29/10/1989,2482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tribuna,22/09/1989,22/09/1989,29/10/1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEB,22/09/1989,22/09/1989,29/10/1989,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metra Seis,20/09/1989,22/09/1989,29/10/1989,13950,NA,38.2,NA,9.2,5,8,1.3,1,0.6,NA,NA,NA,0.5,22.3,NA
ICP–Research,17/09/1989,19/09/1989,29/10/1989,1600,NA,38.2,NA,9.1,4.7,10,1.3,1.4,NA,NA,NA,NA,NA,20.2,NA
CIS,12/09/1989,14/09/1989,29/10/1989,27421,NA,43,NA,9,NA,8,NA,NA,NA,NA,NA,NA,NA,21,NA
Sigma Dos,06/09/1989,08/09/1989,29/10/1989,800,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,0.6,NA,NA
Iope–Etmar,06/09/1989,08/09/1989,29/10/1989,1483,NA,43,NA,8.4,3.8,7.6,1,0.8,0.6,2,NA,NA,NA,22.8,NA
Sigma Dos,01/09/1989,03/09/1989,29/10/1989,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DYM,28/08/1989,30/08/1989,29/10/1989,1000,NA,40.6,NA,9.2,5.2,6.4,1.4,1.4,1.1,NA,NA,NA,0.9,25.1,NA
1989 EP election,15/06/1989,15/06/1989,29/10/1989,NA,54.7,39.6,NA,7.1,4.1,6.1,1.3,1.4,0.7,1.7,0.7,1,0.9,21.4,3.8
CIS,09/05/1989,11/05/1989,29/10/1989,4459,NA,39.5,NA,14.6,5.1,7.1,1.2,NA,NA,NA,NA,NA,NA,26.6,NA
Opina,08/04/1989,10/04/1989,29/10/1989,1610,NA,38.6,NA,12.6,6.4,6.4,NA,NA,NA,NA,NA,NA,NA,26.5,NA
Gallup,30/01/1989,30/01/1989,29/10/1989,600,NA,35.1,NA,14.6,4.1,7.6,NA,NA,NA,NA,NA,NA,NA,30.1,NA
Opina,16/01/1989,18/01/1989,29/10/1989,1621,NA,37.9,23.1,13.2,6.2,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICP–Research,15/01/1989,15/01/1989,29/10/1989,1200,NA,37.5,20.8,13.7,4.5,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metra Seis,13/01/1989,13/01/1989,29/10/1989,1000,NA,37,23,12,5.5,8.5,1.5,1.5,NA,NA,NA,NA,NA,NA,NA
CIS,17/12/1989,19/12/1989,29/10/1989,2498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Opina,13/12/1989,13/12/1989,29/10/1989,NA,NA,36,28,10,6.8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICP–Research,11/12/1989,11/12/1989,29/10/1989,NA,NA,41,19,11,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA
Opina,28/11/1989,30/11/1989,29/10/1989,1600,NA,34.3,27.1,9.9,7.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eco Consulting,19/11/1989,21/11/1989,29/10/1989,1832,NA,39,26,14,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iope–Etmar,15/11/1989,17/11/1989,29/10/1989,700,NA,39.9,24.9,14.2,5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICP–Research,19/09/1989,21/09/1989,29/10/1989,NA,NA,41,15.5,13.6,5.7,7.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA
Emopública,27/06/1989,27/06/1989,29/10/1989,NA,NA,38,24,14,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emopública–Burke,19/05/1989,19/05/1989,29/10/1989,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emopública,24/04/1989,24/04/1989,29/10/1989,NA,NA,34,24,15,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS,08/03/1989,10/03/1989,29/10/1989,2495,NA,42,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emopública,28/02/1989,28/02/1989,29/10/1989,NA,NA,38,23,17,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS,14/02/1989,16/02/1989,29/10/1989,2485,NA,43.9,23,12.5,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS,29/01/1989,29/01/1989,29/10/1989,2478,NA,44,25,13,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIS,24/01/1989,26/01/1989,29/10/1989,2497,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emopública–Burke,24/01/1989,24/01/1989,29/10/1989,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA
Emopública,17/01/1989,17/01/1989,29/10/1989,NA,NA,40,26,14,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emopública,20/12/1989,20/12/1989,29/10/1989,NA,NA,39,25,14,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emopública,15/11/1989,15/11/1989,29/10/1989,NA,NA,40,27,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emopública–Burke,25/10/1989,25/10/1989,29/10/1989,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA
Emopública,11/10/1989,11/10/1989,29/10/1989,NA,NA,34,20,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metra Seis,04/09/1989,06/09/1989,29/10/1989,NA,NA,35.5,20.4,21.9,5.6,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987 EP election,10/06/1989,10/06/1989,29/10/1989,NA,68.5,39.1,24.6,10.3,4.4,5.3,1.1,1.3,0.6,0.9,0.8,0.6,1,NA,NA
