polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,psoe,pp,iu,ci_u,erc,basque_nationalist_party,cc,galician_nationalist_bloc,u_py_d
TNS Demoscopia,08/02/2008,10/02/2008,09/03/2008,NA,73.4,42.7,39.1,4.9,2.7,NA,1.7,NA,NA,NA
Metroscopia,08/02/2008,08/02/2008,09/03/2008,600,71.9,41.7,38.8,5.3,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,28/01/2008,28/01/2008,09/03/2008,4008,NA,44,38.5,4.9,2.8,1.5,1.6,NA,NA,NA
Sigma Dos,05/02/2008,07/02/2008,09/03/2008,1000,NA,41.8,39.2,5.2,3.2,2.1,1.6,NA,NA,NA
DYM,28/01/2008,28/01/2008,09/03/2008,1031,NA,42.4,39.2,4.1,NA,NA,NA,NA,NA,NA
Simple Lógica,23/01/2008,23/01/2008,09/03/2008,2031,72.7,40.6,38.4,5.1,2.7,NA,1.4,NA,NA,NA
CIS,21/01/2008,21/01/2008,09/03/2008,18221,NA,40.2,38.7,5.8,3,2.1,1.7,0.6,0.9,0.6
DYM,29/01/2008,31/01/2008,09/03/2008,1015,NA,42.4,38.6,4.2,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,29/01/2008,31/01/2008,09/03/2008,4009,72,44.6,38.2,5,3,1.3,1.6,NA,NA,NA
TNS Demoscopia,28/01/2008,30/01/2008,09/03/2008,NA,NA,42.5,39.3,4.6,2.8,NA,1.5,NA,NA,NA
Metroscopia,28/01/2008,30/01/2008,09/03/2008,2000,71.9,42,38.6,5.1,NA,NA,NA,NA,NA,NA
TNS Demoscopia,28/01/2008,28/01/2008,09/03/2008,NA,73,42.3,39.6,4.5,3,1.6,1.5,NA,NA,NA
Celeste-Tel,26/01/2008,28/01/2008,09/03/2008,10910,72.9,NA,NA,NA,NA,NA,NA,0.8,0.9,NA
Invymark,23/01/2008,25/01/2008,09/03/2008,1100,NA,43.1,38.1,NA,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,22/01/2008,24/01/2008,09/03/2008,4007,NA,44.5,38.7,4.6,2.8,1.5,1.6,NA,NA,NA
Opina,23/01/2008,23/01/2008,09/03/2008,1000,NA,44,38,3.5,3,1.9,1.6,NA,NA,NA
TNS Demoscopia,21/01/2008,21/01/2008,09/03/2008,NA,71.5,41.6,39.5,5.1,3.1,2,1.5,0.8,NA,2
ASEP,18/01/2008,20/01/2008,09/03/2008,1203,75.6,40.3,38.9,NA,NA,NA,NA,NA,NA,NA
Obradoiro de Socioloxía,15/01/2008,17/01/2008,09/03/2008,4000,NA,42.8,39.2,5,2.6,1.7,1.6,NA,NA,NA
Noxa,14/01/2008,16/01/2008,09/03/2008,1000,NA,42.3,39.8,5.1,2.5,1.8,1.5,NA,NA,NA
TNS Demoscopia,14/01/2008,14/01/2008,09/03/2008,NA,72,41.9,40.1,4.8,3.3,1.8,1.6,NA,NA,NA
Ipsos,11/01/2008,13/01/2008,09/03/2008,NA,71.9,41.5,39.5,NA,NA,NA,NA,NA,NA,NA
Opina,09/01/2008,09/01/2008,09/03/2008,1000,NA,43,40,3.5,3,1.5,1.4,NA,NA,NA
Invymark,26/12/2008,28/12/2008,09/03/2008,NA,NA,43.2,38.4,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,24/12/2008,26/12/2008,09/03/2008,10400,NA,41.9,39.4,5,3.4,2.2,1.5,NA,NA,NA
Obradoiro de Socioloxía,20/11/2008,20/11/2008,09/03/2008,9100,72,43,38.5,5.6,2.7,1.6,1.6,NA,NA,0.9
Ipsos,14/12/2008,16/12/2008,09/03/2008,1000,71.9,41.3,38,5.3,3.2,2.1,1.5,NA,NA,1.3
ASEP,14/12/2008,16/12/2008,09/03/2008,1199,76.3,40.4,37.1,NA,NA,NA,NA,NA,NA,NA
Invymark,12/12/2008,14/12/2008,09/03/2008,NA,NA,42.4,38.9,NA,NA,NA,NA,NA,NA,NA
Noxa,28/11/2008,28/11/2008,09/03/2008,2000,NA,42.5,39.7,5.3,2.8,1.7,1.9,NA,NA,NA
TNS Demoscopia,11/12/2008,11/12/2008,09/03/2008,NA,73.2,42,38.2,5.5,3.2,1.9,1.4,NA,NA,1
Opina,04/12/2008,04/12/2008,09/03/2008,1000,NA,45,37.5,4.5,3,1.5,1.5,NA,NA,NA
Obradoiro de Socioloxía,02/12/2008,02/12/2008,09/03/2008,NA,NA,42.5,37.4,5.2,2.8,2,1.5,NA,NA,NA
Intercampo,22/11/2008,22/11/2008,09/03/2008,NA,NA,40.7,38.4,5.3,3.3,2,1.7,NA,NA,NA
Intercampo,22/11/2008,22/11/2008,09/03/2008,NA,NA,41.3,38.5,5.1,3.8,2.3,1.8,NA,NA,NA
Opina,21/11/2008,21/11/2008,09/03/2008,1000,NA,45,38,4,3.2,1.7,1.9,NA,NA,NA
ASEP,16/11/2008,18/11/2008,09/03/2008,1203,77.6,42.8,36.4,NA,NA,NA,NA,NA,NA,NA
GESOP,15/11/2008,17/11/2008,09/03/2008,1500,NA,43.5,37.6,5,2.8,1.8,1.4,NA,NA,NA
TNS Demoscopia,13/11/2008,13/11/2008,09/03/2008,NA,72.1,41.4,39,5.5,2.7,2.3,1.5,0.8,0.9,0.8
Ipsos,09/11/2008,11/11/2008,09/03/2008,NA,71.9,41.4,38.3,5.2,3,2.1,1.6,NA,NA,1.6
Invymark,07/11/2008,09/11/2008,09/03/2008,NA,NA,42,38.5,NA,NA,NA,NA,NA,NA,NA
Sigma Dos,06/11/2008,08/11/2008,09/03/2008,800,NA,42.2,39.1,4.8,3,2.2,1.3,NA,NA,NA
Opina,06/11/2008,06/11/2008,09/03/2008,1000,NA,44.5,38,4,3,1.9,1.4,NA,NA,NA
Obradoiro de Socioloxía,04/11/2008,04/11/2008,09/03/2008,NA,NA,41.7,38.6,4.7,2.9,2.2,1.4,NA,NA,NA
Invymark,29/10/2008,29/10/2008,09/03/2008,1100,NA,42.6,38,NA,NA,NA,NA,NA,NA,NA
CIS,27/10/2008,29/10/2008,09/03/2008,2493,NA,39.7,37.4,5.5,3.1,2.1,1.5,NA,NA,NA
Opina,23/10/2008,23/10/2008,09/03/2008,1000,NA,44,39,3.3,3.2,1.9,1.4,NA,NA,NA
ASEP,19/10/2008,21/10/2008,09/03/2008,1202,76.2,40.9,38.8,6,NA,NA,NA,NA,NA,NA
Ipsos,13/10/2008,15/10/2008,09/03/2008,NA,71.9,42.7,38.1,4.9,3.1,2,1.8,NA,NA,NA
TNS Demoscopia,10/10/2008,10/10/2008,09/03/2008,NA,70.2,40.6,39.5,5.2,3.2,2.3,1.4,0.7,0.9,0.9
Opina,09/10/2008,09/10/2008,09/03/2008,1000,NA,44,39,3.3,3,2.3,1.8,NA,NA,NA
DYM,02/10/2008,04/10/2008,09/03/2008,1000,NA,41.2,39.3,4.5,NA,NA,NA,NA,NA,NA
Noxa,28/09/2008,28/09/2008,09/03/2008,1000,NA,42.3,39.6,5.7,2.5,1.6,1.1,NA,NA,NA
Obradoiro de Socioloxía,26/09/2008,28/09/2008,09/03/2008,3067,NA,41,38.8,4.9,3.1,2.5,1.4,NA,NA,NA
Opina,26/09/2008,26/09/2008,09/03/2008,NA,NA,44,39,5,2.5,1.7,1.2,NA,NA,NA
ASEP,21/09/2008,23/09/2008,09/03/2008,1213,77.3,42.6,37.1,6,NA,NA,NA,NA,NA,NA
Invymark,12/09/2008,14/09/2008,09/03/2008,NA,NA,42.2,38.8,NA,NA,NA,NA,NA,NA,NA
Opina,13/09/2008,13/09/2008,09/03/2008,NA,NA,44,38,5,3.5,1.8,1.2,NA,NA,NA
TNS Demoscopia,11/09/2008,11/09/2008,09/03/2008,NA,71.6,41.8,38,NA,NA,NA,NA,NA,NA,NA
Ipsos,08/09/2008,10/09/2008,09/03/2008,NA,71.9,40.3,39.8,5.5,2.8,1.9,1.8,NA,NA,NA
Sigma Dos,29/08/2008,31/08/2008,09/03/2008,800,NA,41.1,39.7,5.4,2.7,2.3,1.6,NA,NA,NA
Opina,29/08/2008,29/08/2008,09/03/2008,1000,NA,44,39.5,3.5,4.5,1.9,1.3,NA,NA,NA
CIS,16/07/2008,18/07/2008,09/03/2008,2483,NA,40.5,37,6.1,2.9,1.9,1.5,NA,NA,NA
TNS Demoscopia,17/07/2008,17/07/2008,09/03/2008,NA,69.3,41.7,39.5,5.5,3.2,NA,NA,NA,NA,NA
ASEP,13/07/2008,15/07/2008,09/03/2008,1200,75.1,43.1,36.4,5.6,NA,NA,NA,NA,NA,NA
Invymark,11/07/2008,13/07/2008,09/03/2008,NA,NA,42.8,38.2,NA,NA,NA,NA,NA,NA,NA
Noxa,06/07/2008,08/07/2008,09/03/2008,1000,NA,44.1,37.9,5.4,2.8,2,1.4,NA,NA,NA
Ipsos,06/07/2008,08/07/2008,09/03/2008,NA,71.9,43.1,39.4,5,2.2,1.7,1.4,NA,NA,NA
Metroscopia,03/07/2008,05/07/2008,09/03/2008,1000,NA,43.3,39.3,5.4,NA,NA,NA,NA,NA,NA
Opina,04/07/2008,04/07/2008,09/03/2008,NA,NA,45,38.5,5,4.5,1.7,1.5,NA,NA,NA
TNS Demoscopia,19/06/2008,19/06/2008,09/03/2008,NA,70.9,41,40.3,5.3,3.1,2,1.5,0.7,0.8,NA
ASEP,15/06/2008,17/06/2008,09/03/2008,1213,74.2,41.5,38.4,4.9,NA,NA,NA,NA,NA,NA
GESOP,13/06/2008,15/06/2008,09/03/2008,800,NA,42.2,39.2,5.5,3,1.7,1.3,NA,NA,NA
Iberconsulta,11/06/2008,13/06/2008,09/03/2008,1000,73.3,39.7,40.6,5.3,NA,NA,NA,NA,NA,NA
Opina,12/06/2008,12/06/2008,09/03/2008,1000,NA,43,40,5,3,2,1.5,NA,NA,NA
Ipsos,01/06/2008,03/06/2008,09/03/2008,NA,71.9,40.4,39.1,5.4,2.9,2.1,1.6,NA,NA,NA
Opina,30/05/2008,30/05/2008,09/03/2008,1000,NA,44,38,5,2.5,1.5,1.5,NA,NA,NA
