polling_firm,fieldwork_start,fieldwork_end,date_elec,sample_size,turnout,pp,psoe,iu,ci_u,basque_nationalist_party,cc,galician_nationalist_bloc,hb,eh,erc
Opina,20/11/2000,22/11/2000,12/03/2000,3000,NA,41.5,36,8,4,1.5,1.5,1.5,0.5,1,1
CIS,24/10/2000,26/10/2000,12/03/2000,2496,NA,40.6,35.8,NA,NA,NA,NA,NA,NA,NA,NA
Intercampo,22/09/2000,22/09/2000,12/03/2000,NA,NA,41,36.5,10.3,4.4,1.2,NA,NA,NA,NA,NA
Metra Seis,27/09/2000,27/09/2000,12/03/2000,1680,NA,41.8,36.8,7.4,4.5,1.2,NA,NA,NA,NA,NA
Sigma Dos,28/09/2000,30/09/2000,12/03/2000,1000,NA,42.2,37,NA,NA,NA,NA,NA,NA,NA,NA
Gallup,25/09/2000,27/09/2000,12/03/2000,2029,77.2,40.7,37.2,9.8,4.3,1,NA,NA,NA,NA,NA
Demoscopia,13/09/2000,15/09/2000,12/03/2000,1809,75,40.8,36.7,7,4.8,1.3,NA,1.6,NA,NA,NA
Eco Consulting,08/09/2000,10/09/2000,12/03/2000,1000,NA,41.4,35.8,8.8,4.3,1.5,NA,1.4,NA,NA,NA
La Vanguardia,26/08/2000,26/08/2000,12/03/2000,NA,NA,41.8,34.7,NA,NA,NA,NA,NA,NA,NA,NA
CIS,13/07/2000,15/07/2000,12/03/2000,2490,NA,40.7,35.8,NA,NA,NA,NA,NA,NA,NA,NA
DYM,10/07/2000,12/07/2000,12/03/2000,2534,69.3,41.8,37.1,7.2,4.9,1.1,NA,NA,0.7,0.8,1
Gallup,19/06/2000,21/06/2000,12/03/2000,NA,NA,40.1,38.1,9.5,4,1.2,NA,NA,NA,NA,NA
1999 EP election,13/06/2000,13/06/2000,12/03/2000,NA,63,39.7,35.3,5.8,4,1.9,1.3,1.6,1.3,0.8,0.7
