02199306000058SEES                                              SALUD Y ECOLOGIA EN SOLIDARIDAD                                                                                                                       000058000058000058
02199306000059IC                                                INICIATIVA PER CATALUNYA                                                                                                                              000059000059000004
02199306000060OS                                                OCTUBRE SOCIALISTA                                                                                                                                    000060000060000060
02199306000061PEC-VERDE                                         PARTIT ECOLOGISTA DE CATALUNYA                                                                                                                        000061000061000061
02199306000062ERC                                               ESQUERRA REPUBLICANA DE CATALUNYA                                                                                                                     000062000062000062
02199306000063E U                                               EXTREMADURA UNIDA                                                                                                                                     000063000063000063
02199306000064FREIXES                                           GRUPO INDEPENDIENTE FREIXES                                                                                                                           000064000064000064
02199306000065UDLA                                              UNION DE AUTONOMIAS                                                                                                                                   000065000065000065
02199306000067BNG                                               BLOQUE NACIONALISTA GALEGO                                                                                                                            000067000067000067
02199306000068PS G/PSOE                                         PARTIDO DOS SOCIALISTAS DE GALICIA-P.S.O.E.                                                                                                           000068000068000001
02199306000069FE (I)                                            FALANGE ESPAÑOLA INDEPENDIENTE                                                                                                                        000069000069000069
02199306000070PRIM                                              PARTIDO REGIONAL INDEPENDIENTE MADRILEÑO                                                                                                              000070000070000070
02199306000072TC-PNC                                            TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO                                                                                                       000072000072000072
02199306000073FE (A)                                            FALANGE ESPAÑOLA AUTENTICA                                                                                                                            000073000073000073
02199306000074FPE                                               FRENTE PROGRESISTA DE ESPAÑA                                                                                                                          000074000074000074
02199306000075PITRCG                                            PART. POLITICO INDEPENDIENTE TOLERANTE REFERENDATA                                                                                                    000075000075000075
02199306000076CNG                                               CONVERXENCIA NACIONALISTA GALEGA                                                                                                                      000076000076000076
02199306000077HB                                                HERRI BATASUNA                                                                                                                                        000077000077000077
02199306000078AG                                                ALTERNATIVA GALEGA                                                                                                                                    000078000078000078
02199306000079IU                                                ESQUERRA UNIDA DE LES ILLES                                                                                                                           000079000079000004
02199306000080PAP                                               PARTIDO ANDALUZ DE PROGRESO                                                                                                                           000080000080000080
02199306000081IU-EB                                             IZQUIERDA UNIDA-EZKER BATUA                                                                                                                           000081000081000004
02199306000082PSE-EE/PSOE                                       PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZQUERRA                                                                                                      000082000082000001
02199306000083IF                                                INDEPENDIENTES FEDERADOS DE ARAGON                                                                                                                    000083000083000083
02199306000085P. RIOJANO                                        PARTIDO RIOJANO                                                                                                                                       000085000085000085
02199306000086UV                                                UNIO VALENCIANA                                                                                                                                       000086000086000086
02199306000087EU-PV                                             ESQUERRA UNIDA DEL PAIS VALENCIA                                                                                                                      000087000087000004
02199306000088UPV                                               UNITAT DEL POBLE VALENCIA                                                                                                                             000088000088000088
02199306000089UNI.D.A                                           UNION DEMOCRATICA ALICANTINA                                                                                                                          000089000089000089
02199306000090INCE                                              INICIATIVA POR CEUTA                                                                                                                                  000090000090000090
02199306000091PSPC                                              PARTIDO SOCIALISTA DEL PUEBLO DE CEUTA                                                                                                                000091000091000091
02199306000092ABE                                               ALTERNATIVA BALEAR ESPAÑOLA                                                                                                                           000092000092000092
02199306000094EAJ-PNV                                           EUSKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO                                                                                                    000094000094000094
02199306000095PB                                                PARTIDO DE EL BIERZO                                                                                                                                  000095000095000095
02199306000096PIAP                                              PARTIDO DE INTEGRACION POR ALMERIA Y SUS PUEBLOS                                                                                                      000096000096000096
02199306000097UPL                                               UNION DEL PUEBLO LEONES                                                                                                                               000097000097000097
02199306000098US                                                UNION PROGRESISTA SORIANA                                                                                                                             000098000098000098
02199306000099APP                                               AGRUPACION PALENTINA POPULAR                                                                                                                          000099000099000099
02199306000100AA                                                ANDECHA ASTUR                                                                                                                                         000100000100000100
02199306000101OV                                                OS VERDES DE GALICIA                                                                                                                                  000101000143000048
02199306000103CDS                                               CENTRE DEMOCRATIC I SOCIAL                                                                                                                            000103000003000003
02199306000104IU                                                IZQUIERDA UNIDA DE ARAGON                                                                                                                             000104000104000004
02199306000105PST                                               PARTIDO SOCIALISTA DOS TRABALLADORES                                                                                                                  000105000105000013
02199306000106IU                                                IZQUIERDA UNIDA DE EXTREMADURA                                                                                                                        000106000106000004
02199306000107EVIB                                              ELS VERDS DE LES ILLES BALEARS                                                                                                                        000107000107000048
02199306000108PC                                                PARTIDO CANTONALISTA                                                                                                                                  000108000108000108
02199306000109PCPG                                              PARTIDO COMUNISTA DO POBO GALEGO                                                                                                                      000109000109000007
02199306000110PP                                                PARTIT POPULAR                                                                                                                                        000110000002000002
02199306000111PVPA                                              LOS VERDES DEL PAIS ALICANTINO                                                                                                                        000111000111000111
02199306000112PSM-ENE                                           PSM-ENE NACIONALISTES DE LES ILLES BALEARS                                                                                                            000112000112000112
02199306000113EA-EUE                                            COALICION EUSKO ALKARTASUNA-EUSKAL EZKERRA                                                                                                            000113000113000113
02199306000114EA-EUE                                            EUSKO ALKARTASUNA-EUSKAL EZKERRA                                                                                                                      000114000113000113
02199306000115NPS                                               COALICION POR UN NUEVO PARTIDO SOCIALISTA                                                                                                             000115000115000115
02199306000116IU                                                IZQUIERDA UNIDA                                                                                                                                       000116000023000004
02199306000117EU-UG                                             ESQUERDA UNIDA-UNIDADE GALEGA                                                                                                                         000117000117000004
02199306000118UG-EU                                             UNIDADE GALEGA-ESQUERDA UNIDA                                                                                                                         000118000117000004
02199306000119ARM-PAI-MAS                                       AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.                                                                                                                  000119000119000008
02199306000120LV                                                LOS VERDES                                                                                                                                            000120000141000048
02199306000121UPN-PP                                            UNION DEL PUEBLO NAVARRO-PARTIDO POPULAR                                                                                                              000121000121000002
02199306000123EV-CEC                                            ELS VERDS-CONFEDERACIO ECOLOGISTA DE CATALUNYA                                                                                                        000123000123000048
02199306000124ARM                                               AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA                                                                                                        000124000124000008
02199306000125LV                                                BERDEAK-LOS VERDES                                                                                                                                    000125000125000048
02199306000126CDS                                               CENTRO DEMOCRATICO Y SOCIAL/CENTRE DEMOCRATIC I SO                                                                                                    000126000003000003
02199306000127LV                                                LOS VERDES                                                                                                                                            000127000127000048
02199306000128BERDEAK-LV                                        BERDEAK-LOS VERDES                                                                                                                                    000128000128000048
02199306000129S.E.                                              SALUD Y ECOLOGIA EN SOLIDARIDAD                                                                                                                       000129000129000058
02199306000130IU                                                IZQUIERDA UNIDA                                                                                                                                       000130000145000004
02199306000131PCC                                               PARTIDO CANTONALISTA DE CASTELLON                                                                                                                     000131000108000108
02199306000132IU                                                IZQUIERDA UNIDA DE CASTILLA LA MANCHA                                                                                                                 000132000004000004
02199306000133LV                                                LOS VERDES                                                                                                                                            000133000048000048
02199306000134RUIZ-MATEOS                                       AGRUPACION RUIZ MATEOS                                                                                                                                000134000008000008
02199306000135RUIZ-MATEOS                                       AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA                                                                                                        000135000135000008
02199306000136RUIZ-MATEOS                                       AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA                                                                                                        000136000008000008
02199306000138PST                                               PARTIT SOCIALISTA DELS TREBALLADORS                                                                                                                   000138000138000013
02199306000139NPS                                               COALICIO PER UN NOU PARTIT SOCIALISTA                                                                                                                 000139000115000115
02199306000140PP                                                PARTIDO POPULAR/PARTIT POPULAR                                                                                                                        000140000002000002
02199306000141LV                                                LOS VERDES/ELS VERDS                                                                                                                                  000141000141000048
02199306000142IU                                                IZQUIERDA UNIDA DE CANTABRIA                                                                                                                          000142000142000004
02199306000143VERDES                                            OS VERDES                                                                                                                                             000143000143000048
02199306000144HUMANISTA                                         PARTIDO HUMANISTA                                                                                                                                     000144000012000012
02199306000145IU                                                IZQUIERDA UNIDA DE CASTILLA Y LEON                                                                                                                    000145000145000004
02199306000146ECO-VERDE                                         SALUD Y ECOLOGIA EN SOLIDARIDAD                                                                                                                       000146000146000058
02199306000147ECOLOGISTAS                                       LOS ECOLOGISTAS                                                                                                                                       000147000009000009
02199306000148IU                                                IZQUIERDA UNIDA-LA RIOJA                                                                                                                              000148000148000004
02199306000149VG                                                OS VERDES DE GALICIA                                                                                                                                  000149000143000048
02199306000151IU                                                IZQUIERDA UNIDA DE ASTURIAS                                                                                                                           000151000151000004
02199306000152ARM-PAI-MAS                                       AGRUPACION RUIZ-MATEOS P.A.I.-M.A.S.                                                                                                                  000152000008000008
02199306000153PEC-VERDE                                         PARTIT ECOLOGISTA DE CATALUNYA-VERDE                                                                                                                  000153000061000061
02199306000154RUIZ-MATEOS                                       AGRUPACION RUIZ-MATEOS                                                                                                                                000154000154000008
02199306000155ADE                                               AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA                                                                                                        000155000008000008
02199306000156ADE                                               AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA                                                                                                        000156000156000008
02199306000157ARM                                               AGRUPACION RUIZ-MATEOS                                                                                                                                000157000008000008
02199306000159POR                                               PARTIT OBRER REVOLUCIONARI                                                                                                                            000159000032000032
02199306000169PCV                                               PARTIDO CANTONALISTA DE VALENCIA                                                                                                                      000169000108000108
02199306000171VERDES                                            LOS VERDES DE ANDALUCIA                                                                                                                               000171000171000048
